publisher	Nombre	Votos	Promedio
publisher	Hutter Trade GmbH + Co KG	3	9
publisher	Hutter Trade GmbH + Co KG	3	9
publisher	Hutter Trade GmbH + Co KG	3	9
publisher	Hutter Trade GmbH + Co KG	5	9
publisher	IELLO	24	6.5
publisher	IELLO	25	6.6
publisher	IELLO	3	7.666666666666667
publisher	IELLO	3	7.666666666666667
publisher	IELLO	41	6.878048780487805
publisher	IELLO	45	7
publisher	Ideal Board Games	12	7.5
publisher	Ideal Board Games	12	7.5
publisher	Ideal Board Games	13	7.461538461538462
publisher	Ideal Board Games	14	7.285714285714286
publisher	Ideal Board Games	4	8.25
publisher	Ideal Board Games	4	8.25
publisher	Igrology	3	6
publisher	Igrology	3	6
publisher	Indie Boards and Cards	11	7.181818181818182
publisher	Indie Boards and Cards	3	8
publisher	Indie Boards and Cards	7	6.857142857142857
publisher	Indie Boards and Cards	7	6.857142857142857
publisher	Indie Boards and Cards	9	6.777777777777778
publisher	Inovac Rima SA	3	7.666666666666667
publisher	Intrafin Games	3	7
publisher	Iron Crown Enterprises	3	7.333333333333333
publisher	Iron Crown Enterprises	3	7.333333333333333
publisher	Iron Crown Enterprises	3	7.333333333333333
publisher	Iron Crown Enterprises	3	7.333333333333333
publisher	J & L Randall, Ltd.	3	7.666666666666667
publisher	Japon Brand	5	5.4
publisher	Japon Brand	5	5.4
publisher	Japon Brand	7	6.142857142857143
publisher	Japon Brand	8	6.5
publisher	John Jaques of London	3	6.666666666666667
publisher	John Jaques of London	5	7
publisher	John N. Hansen Co., Inc.	3	7.666666666666667
publisher	John Sands Pty Ltd	3	4.666666666666667
publisher	Joker	4	4
publisher	Joker	4	4
publisher	Joker	5	4.2
publisher	Joker	5	4.2
publisher	Jolly Thinkers	3	6.666666666666667
publisher	Jolly Thinkers	3	6.666666666666667
publisher	Juegos Crone	3	3.6666666666666665
publisher	Juegos Crone	3	3.6666666666666665
publisher	Jumbo	5	5.8
publisher	Jumbo	5	5.8
publisher	Jumbo	7	6.571428571428571
publisher	Jumbo	8	6.75
publisher	K & C Ltd	3	7.666666666666667
publisher	KADABRA	23	7.391304347826087
publisher	KADABRA	23	7.391304347826087
publisher	KADABRA	27	7.333333333333333
publisher	KADABRA	28	7.392857142857143
publisher	KADABRA	5	8.4
publisher	KADABRA	5	8.4
publisher	KOSMOS	27	6.962962962962963
publisher	KOSMOS	29	7.0344827586206895
publisher	KOSMOS	36	7
publisher	KOSMOS	41	6.926829268292683
publisher	KOSMOS	6	7.833333333333333
publisher	KOSMOS	6	7.833333333333333
publisher	Kaissa Chess & Games	111	6.936936936936937
publisher	Kaissa Chess & Games	116	6.991379310344827
publisher	Kaissa Chess & Games	140	7
publisher	Kaissa Chess & Games	160	7.00625
publisher	Kaissa Chess & Games	21	8.047619047619047
publisher	Kaissa Chess & Games	23	8
publisher	Kaissa Chess & Games	5	7.6
publisher	Kaissa Chess & Games	8	8.125
publisher	Kanai Factory	3	6
publisher	Kanai Factory	3	6
publisher	Kanai Factory	5	6.8
